Shop ID,Shopname,Meli id,Item Title,Promo Price,Link,L1 Category,buckt,meds,buckt_meds,score,score_medida,Item ID shopee,Item Title shopee,Shop ID shopee,Shopname shopee,L1 Category shopee,item_price shopee,price shopee,Promo Price shopee,link shopee
5907347475,Ton Eletronicos,e22102588666,Ton Eletronicos Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Cabeleireiro Faz Desenho,26.2,https://br.shein.com//Ton-Eletr-nicos-Men-Grooming-Machines-p-11832240-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,81,,22228109114,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,872465390,MEGA VARIEDADES  ELETRONICOS,Beauty,25.11692308,69.99,25.11692308,https://www.shopee.com.br/product/872465390/22228109114
9852462625,HHSHOP_BRASIL,h23052965611,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portatil Potente,27.64,https://br.shein.com//Toothbrush-p-17405854-cat-3348.html?mallCode=2,Home & Living,<40,nan,<400,96,,22228109114,Maquina de Barbear cortar cabelo Aparador Profissional barbeador acabamento Sem Fio Portátil,872465390,MEGA VARIEDADES  ELETRONICOS,Beauty,25.11692308,69.99,25.11692308,https://www.shopee.com.br/product/872465390/22228109114
9152463397,tangshop eletronicos,h22110918551,tangshop Maquina De Cortar Cabelo 3915 bivolt Recarregavel Barbeador Portatil Aparador Barba,21.06,https://br.shein.com//Men-Grooming-Machines-p-12066457-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,80,,13695943783,Máquina De Barbear Aparador P/ Cortar Cabelo E Barba Recarregável,653349196,Gi.Fotos,Beauty,33.9,63.8,33.9,https://www.shopee.com.br/product/653349196/13695943783
4945578885,Digital Santa,b23041174565,Maquina De Acabamento Barbearia Barba Cabelo Bigode Profissional Kemei Km-9163,71.63,https://br.shein.com//Hair-Removal-Tools-p-14703894-cat-3711.html?mallCode=2,Beauty,<80,nan,<800,95,,20398510997,Máquina De Acabamento Barbearia Barba Cabelo Bigode Profissional Kemei,973704931,Q&G SHOP,Beauty,79.99,80.0,79.99,https://www.shopee.com.br/product/973704931/20398510997
6275759819,Noveve,b23050755767,Serum Facial Vitamina C Oil-Free Max Love 30ML,10.23,https://br.shein.com//Serums-Facial-Treatment-p-15743115-cat-4829.html?mallCode=2,Beauty,<20,nan,<200,83,,19065030220,Serum Facial Vitamina C 10 em 1 - Max Love,415158371,Planeta Das Maquiagens,Beauty,11.99,11.99,11.99,https://www.shopee.com.br/product/415158371/19065030220
3186171703,HUG STORE,b23013056562,zhijun zhang Tesoura Tesourinha Garca Cortar Unha Sobrancelha Cortador Cilios Multiuso Resistente,12.21,https://br.shein.com//zhijun-zhang-Nail-Art-Tools-p-12864250-cat-3679.html?mallCode=2,Beauty,<20,nan,<200,93,,23291260993,Tesoura Garça Cortar Unha Sobrancelha Tesourinha Cortador Cilios Multiuso Resistente,499829048,Galáxia Up,Beauty,12.58,29.92,12.58,https://www.shopee.com.br/product/499829048/23291260993
9152463397,tangshop eletronicos,h22111288669,Maquina de cortar cabelo sem fio profissional Aparador Barbeiro Recarregavel maquininha de barbear,27.59,https://br.shein.com//Men-Grooming-Machines-p-12145226-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,95,,21344009144,EléTrica Máquina De Cortar Cabelo Sem Fio Profissional Aparador Barbeiro RecarregáVel Maquininha De Barbear,832031799,Vida Criativa ,Beauty,26.32181818,99.98,26.32181818,https://www.shopee.com.br/product/832031799/21344009144
6275759819,Noveve,b23050882021,Barbeador Eletrico Portatil A Prova D'agua De Dupla Finalidade Tipo c De Carga Rapida Aparador De Barba De Bolso,27.83,https://br.shein.com//Men-Grooming-Machines-p-15797956-cat-3864.html?mallCode=2,Beauty,<40,nan,<400,84,,15997202769,Mini Barbeador Elétrico Portátil IPX7 À Prova D'água Seco Duplo Uso Tipo c Aparador De Barba De Bolso Com Carregamento Rápido,296745639,cyn eletronicos ltda,Beauty,39.99,75.99,39.99,https://www.shopee.com.br/product/296745639/15997202769
5291026762,VERA,v23053097776,Barbeador Eletrico Portatil A Prova D'agua De Dupla Finalidade Tipo c De Carga Rapida Aparador De Barba De Bolso,27.4,https://br.shein.com//Electric-Shavers-p-17243972-cat-4503.html?mallCode=2,Beauty,<40,nan,<400,84,,15997202769,Mini Barbeador Elétrico Portátil IPX7 À Prova D'água Seco Duplo Uso Tipo c Aparador De Barba De Bolso Com Carregamento Rápido,296745639,cyn eletronicos ltda,Beauty,39.99,75.99,39.99,https://www.shopee.com.br/product/296745639/15997202769
4945578885,Digital Santa,b23041174565,Maquina De Acabamento Barbearia Barba Cabelo Bigode Profissional Kemei Km-9163,71.63,https://br.shein.com//Hair-Removal-Tools-p-14703894-cat-3711.html?mallCode=2,Beauty,<80,nan,<800,95,,19996987775,Máquina De Acabamento Barbearia Barba Cabelo Bigode Profissional Kemei,973704931,Q&G SHOP,Beauty,44.99,70.0,44.99,https://www.shopee.com.br/product/973704931/19996987775
